 close, high, low, open, volume,Date,Ticker
26.6300,26.6500,24.1200,24.5800,156933279,2015-11-30,CFG
26.1900,27.1700,25.3700,26.8100,117982311,2015-12-31,CFG
21.2500,25.9900,19.7300,25.7100,310344885,2016-01-29,CFG
19.2300,21.2100,18.0400,21.1100,174009849,2016-02-29,CFG
20.9500,22.5500,19.3150,19.3300,136823329,2016-03-31,CFG
22.8600,24.2400,20.5300,20.9200,113168567,2016-04-29,CFG
23.5500,23.8550,21.2500,22.8400,104452946,2016-05-31,CFG
19.9800,23.8800,18.3400,23.2800,170807914,2016-06-30,CFG
22.3400,22.7500,18.5800,19.8800,134060990,2016-07-29,CFG
24.7700,24.8100,21.9200,22.2500,108095464,2016-08-31,CFG
24.7100,25.1100,23.8100,24.8600,111679737,2016-09-30,CFG
26.3400,27.2100,24.2200,24.5700,101424904,2016-10-31,CFG
33.5100,33.7000,25.8700,26.5200,165060111,2016-11-30,CFG
35.6300,36.5600,33.8100,33.8700,108996975,2016-12-30,CFG
36.1700,37.9500,33.8000,36.4400,101203190,2017-01-31,CFG
37.3700,38.4300,35.2100,36.5400,91547686,2017-02-28,CFG
34.5500,39.7500,32.9900,38.4200,124937460,2017-03-31,CFG
36.7100,37.2500,33.1350,34.6400,101386458,2017-04-28,CFG
34.1000,38.0100,33.4900,36.9900,94952012,2017-05-31,CFG
35.6800,37.1800,33.4000,34.2700,103798138,2017-06-30,CFG
35.0800,37.2500,34.3250,35.8900,78246957,2017-07-31,CFG
33.1300,36.3000,32.4600,35.3700,90008388,2017-08-31,CFG
37.8700,38.0550,31.5100,33.2800,92375950,2017-09-29,CFG
38.0100,38.9900,36.1000,37.5300,111867697,2017-10-31,CFG
40.7000,41.7700,36.2500,38.2100,92443765,2017-11-30,CFG
41.9800,42.9300,39.4200,40.9000,82213479,2017-12-29,CFG
45.9000,48.2300,42.0200,42.3500,98880952,2018-01-31,CFG
43.4900,47.0600,41.4800,45.9100,114619404,2018-02-28,CFG
41.9800,46.6600,40.8000,43.5400,96849841,2018-03-29,CFG
41.4900,43.6200,40.4500,41.9400,95965169,2018-04-30,CFG
40.8500,43.1200,39.0700,41.1000,92112219,2018-05-31,CFG
38.9000,42.8650,38.8400,41.4600,106563797,2018-06-29,CFG
39.7800,41.2200,38.6500,38.7000,93938786,2018-07-31,CFG
41.1600,41.7600,39.4200,40.0300,70650859,2018-08-31,CFG
38.5700,41.6700,38.4700,41.2500,68568729,2018-09-28,CFG
37.3500,39.6900,34.8750,38.8000,134259856,2018-10-31,CFG
36.3600,38.6400,34.8200,37.6000,101837578,2018-11-30,CFG
29.7300,37.1100,27.6200,36.9000,124457845,2018-12-31,CFG
33.9200,35.7700,29.2650,29.4300,113204929,2019-01-31,CFG
36.9400,37.7300,33.9000,34.0800,86464918,2019-02-28,CFG
32.5000,37.5800,31.2950,37.2200,96373050,2019-03-29,CFG
36.2000,36.6300,32.8000,32.8200,99061135,2019-04-30,CFG
32.5800,36.8900,32.5350,36.1800,78642566,2019-05-31,CFG
35.3600,35.9300,32.3600,32.4800,75113692,2019-06-28,CFG
37.2600,38.0550,34.3100,35.7900,102979888,2019-07-31,CFG
35.5100,37.3600,35.0500,37.0700,12374576,2019-08-02,CFG
56.5600,56.8700,49.8700,51.5000,89890579,1998-02-27,F
64.8100,65.6900,56.1900,56.3700,115076892,1998-03-31,F
45.8100,65.9400,42.5000,64.7500,137073140,1998-04-30,F
51.8800,53.0000,44.8800,47.5000,76063845,1998-05-29,F
59.0000,59.1300,50.7500,52.4400,72872629,1998-06-30,F
57.0000,61.4400,56.0600,58.7500,64928645,1998-07-31,F
